PeakID (cmd=annotatePeaks.pl merge_chipseq_chipnexus_q10/merge2chip_q10_given.txt dm3 -go merge_chipseq_chipnexus_q10/GO/merge2chip_q10_given/ -genomeOntology merge_chipseq_chipnexus_q10/GenomeOntology/merge2chip_q10_given/ -annStats merge_chipseq_chipnexus_q10/merge2chip_q10_given_stat.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr2L-10225352-1	chr2L	10225119	10225585	+	0.000000	wtElba3__elba3Elba3	TTS (NM_135514)	TTS (NM_135514)	1456	NM_135515	34361	Dm.18161	NM_135515		CG5708	Dmel\CG5708	CG5708	protein-coding
Merged-chr3L-22440404-1	chr3L	22440242	22440566	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	-7069	NM_141133	40467	Dm.27198	NM_141133		CG11449	Dmel\CG11449	uncharacterized protein	protein-coding
Merged-chr2R-3950775-4	chr2R	3950658	3950996	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NM_165585, intron 1 of 4)	intron (NM_165585, intron 1 of 4)	2232	NM_165585	35770	Dm.6229	NM_136503		CG12769	Dmel\CG12769	uncharacterized protein	protein-coding
Merged-chrX-4495605-2	chrX	4495255	4495973	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	intron (NR_123790, intron 1 of 4)	intron (NR_123790, intron 1 of 4)	9804	NR_123790	19835374		NR_123790		CR32773	CG32773|Dmel\CR32773	ncRNA	ncRNA
Merged-chrX-17054484-5	chrX	17053860	17055046	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed	5' UTR (NM_001042818, exon 1 of 10)	5' UTR (NM_001042818, exon 1 of 10)	414	NM_001042818	32703	Dm.191	NM_001042818		baz	BAZ|Baz|Baz/Par-3|Baz/Par3|Bazooka|CG5055|D-Par3|D-par3|Dmel\CG5055|PAR-3|PAR3|Par-3|Par3|dPar-3|l(1)G0484|par-3|par3	bazooka	protein-coding
Merged-chr3R-25496780-3	chr3R	25496449	25497165	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001300657)	promoter-TSS (NM_001300657)	-572	NM_143450	43488	Dm.6760	NM_143450		Obp99a	99a|BcDNA:RH70762|CG18111|DmelObp99a|Dmel\CG18111|OBP99a	Odorant-binding protein 99a	protein-coding
Merged-chr3L-6733811-1	chr3L	6733663	6733960	+	0.000000	wtElba3__elba3Elba3	exon (NM_139798, exon 5 of 6)	exon (NM_139798, exon 5 of 6)	2032	NM_206285	38747	Dm.4007	NM_139798		dikar	CG10115|CG32393|CG32394|CG42799|Dmel\CG42799|Dmel_CG32393|Dmel_CG32394	dikar	protein-coding
Merged-chr3R-14372822-1	chr3R	14372684	14372961	+	0.000000	wtInsv__insvInsv	Intergenic	Intergenic	-1514	NM_001170177	42226	Dm.4626	NM_079673		fru	BTB-VI|BtbVI|CG14307|CG14307/CG33541|CG7688|CG7689|CG7690|CT22773|Dmel\CG14307|Dmfru|FRU|FRU-PI|Fru|cg7688|cg7689|fruC|fty|ms(3)06411|sat	fruitless	protein-coding
Merged-chr2R-20278077-1	chr2R	20278018	20278137	+	0.000000	Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_079120)	promoter-TSS (NM_079120)	-223	NR_124729	19834874		NR_124729		CR44813	Dmel\CR44813|lincRNA.390	ncRNA	ncRNA
Merged-chr3L-11163383-1	chr3L	11163193	11163574	+	0.000000	wtInsv__insvInsv	promoter-TSS (NM_140188)	promoter-TSS (NM_140188)	209	NM_001274776	39260	Dm.18733	NM_140189		CG7616	Dmel\CG7616|FBgn 36142	CG7616	protein-coding
Merged-chr2R-7482529-2	chr2R	7482381	7482720	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	intron (NM_078977, intron 1 of 16)	intron (NM_078977, intron 1 of 16)	-1919	NM_001273969	36241	Dm.2658	NM_078977		tou	CG10897|Dm Tou|Dmel\CG10897|EP(2)0622|EP0622|EP622|TIP5|TOU|Tou|VI|anon-48Ad|gene VI	toutatis	protein-coding
Merged-chr3R-13769662-2	chr3R	13769497	13769934	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3	promoter-TSS (NM_001014632)	promoter-TSS (NM_001014632)	-113	NM_001014632	45840	Dm.6154	NM_080105		cpo	1824|3603|5339|6015|BcDNA:AT31405|CG12349|CG18434|CG18435|CG31243|CG42457|CG43738|CPO|Cpo|Dmel\CG43738|Dmel_CG31243|Dmel_CG42457|E(sda)N|Line N|ORE-17|cg18435|l(3)01432|l(3)6015|l(3)j4A1|l(3)j4D4|l(3)j7E2|l(3)j9B3|l(3)rJ553|l(3)s2336	couch potato	protein-coding
Merged-chr2R-12467056-3	chr2R	12466746	12467588	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_057848)	promoter-TSS (NM_057848)	98	NM_166184	36854	Dm.4855	NM_057848		Cdk4	8-6|CDK4|CDK4/6|CG5072|Cdk4/6|DmCdk4|Dmel\CG5072|Pk53C|Pk?7|cdk|cdk4|cdk4/6|dCdk4|l(2)05428|l(2)0671|l(2)k06503|l(2)s4639|l(2)sh0671	Cyclin-dependent kinase 4	protein-coding
Merged-chr2L-9454770-14	chr2L	9453951	9455691	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NM_001273362, intron 2 of 4)	intron (NM_001273362, intron 2 of 4)	4991	NM_001273362	34263	Dm.4492	NM_078799		numb	CG3779|Dmel\CG3779|N7-1|Nb|Numb|d-numb|dNumb|l(2)03235|l(2)3235|l(2)s2201|nb|numbs	numb	protein-coding
Merged-chr4-1109378-1	chr4	1109219	1109537	+	0.000000	wtInsv__insvInsv	promoter-TSS (NM_001014699)	promoter-TSS (NM_001014699)	-46	NM_079894	43825	Dm.1886	NM_079894		sv	CG11049|Cat|D-Pax2|D-pax-2|D-pax2|DPax-2|DPax2|Dmel\CG11049|Dpax-2|Dpax2|PAX2|Pax2|Pax2/5/8|Pax258|Sv|d-Pax2|dPax2|dPax258|en(lz)4G/I|l(4)40|pax2/sparkling|pol|shaven/sparkling|spa|spa-sv	shaven	protein-coding
Merged-chrX-5123578-1	chrX	5123559	5123597	+	0.000000	Elba2_ChIPnexus_narrowPeak_q5.bed	intron (NM_167028, intron 14 of 28)	intron (NM_167028, intron 14 of 28)	-40748	NR_123795	19835834		NR_123795		CR44834	Dmel\CR44834	ncRNA	ncRNA
Merged-chr2R-212430-1	chr2R	212363	212497	+	0.000000	Elba3_ChIPnexus_narrowPeak_q10.bed	intron (NM_001299206, intron 13 of 14)	intron (NM_001299206, intron 13 of 14)	-81991	NM_001042972	3355010	Dm.10741	NM_001042972		IntS3	CG17665|Dmel\CG17665|IR23|Int3|NC19|NC28|l(2)IR23|l(2)NC19|l(2)NC28|l(2Rh)IR23	Integrator 3	protein-coding
Merged-chr2L-14394483-1	chr2L	14394384	14394583	+	0.000000	wtInsv__insvInsv	intron (NM_078842, intron 1 of 2)	intron (NM_078842, intron 1 of 2)	-13311	NM_057884	34843	Dm.2958	NM_057884		ppk	BG:DS06238.1|CG3478|Dmel\CG3478|PPK|PPK1|dmdNaC1|dmdNaCl|mdNaC1|pkt|ppk1	pickpocket	protein-coding
Merged-chr2L-2364265-1	chr2L	2364010	2364521	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_078733)	promoter-TSS (NM_078733)	456	NM_001272996	33418	Dm.6724	NM_078733		Rab5	AAF51265|BAA88244|CG3664|DRab5|Dm Rab5|DmRab5|Dmel\CG3664|Drab5|RAB5|RAB5a|Rab|Rab-5|dRab5|drab5|l(2)k08232|rab5	Rab5	protein-coding
Merged-chrX-15696924-1	chrX	15696653	15697195	+	0.000000	wtInsv__insvInsv	promoter-TSS (NM_132850)	promoter-TSS (NM_132850)	78	NM_132850	32534	Dm.3371	NM_132850		PGRP-LE	CG8995|Dmel\CG8995|PGRP|anon-WO0153538.66|pgrp le|pgrp-le	Peptidoglycan recognition protein LE	protein-coding
Merged-chr2R-8027076-1	chr2R	8026885	8027267	+	0.000000	wtInsv__insvInsv	TTS (NM_136884)	TTS (NM_136884)	658	NM_136885	36298	Dm.7613	NM_136885		SkpB	CG8881|Dmel\CG8881|Skp|dskpB|skpB	SKP1-related B	protein-coding
Merged-chrU-2149125-3	chrU	2149046	2149206	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	Intergenic	(CTTAT)n|Simple_repeat|Simple_repeat	146873	NM_001110584	5740142	Dm.36517	NM_001110584		Gpa2	CG17878|Dmel\CG17878|GPA2|gpa2	Glycoprotein hormone alpha 2	protein-coding
Merged-chr3R-1088587-1	chr3R	1088511	1088663	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_141267)	promoter-TSS (NM_141267)	-173	NM_141267	40632	Dm.29768	NM_141267		Tim17a2	BcDNA:RH03914|CG14666|Dmel\CG14666	Tim17a2	protein-coding
Merged-chr3R-25283662-12	chr3R	25282960	25284325	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	TTS (NR_074064)	TTS (NR_074064)	350	NM_170409	43469	Dm.4029	NM_057468		Ptp99A	CG11515|CG11516|CG11517|CG2005|CT6383|DPTP99A|DPTP[[99A]]|Dmel\CG11516|PTP99A|R-PTP 99A|dptp99A|ptp99A	Protein tyrosine phosphatase 99A	protein-coding
Merged-chr2L-10342816-2	chr2L	10342559	10343185	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1	TTS (NM_001273399)	TTS (NM_001273399)	170	NM_001273400	34397	Dm.3457	NM_058130		Sps2	CG5025|Dmel\CG5025|Dsps2|SPS2|dSPS2|dsps2|sps2	Selenophosphate synthetase 2	protein-coding
Merged-chr2R-16409478-1	chr2R	16409327	16409629	+	0.000000	wtInsv__insvInsv	Intergenic	Intergenic	-3422	NR_124662	19834881		NR_124662		CR44650	Dmel\CR44650|lincRNA.364	ncRNA	ncRNA
Merged-chr2L-18689659-1	chr2L	18689532	18689787	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_057548)	promoter-TSS (NM_057548)	-32	NM_165261	35122	Dm.11262	NM_136051		CG10336	Dmel\CG10336	uncharacterized protein	protein-coding
Merged-chr2R-14035438-1	chr2R	14035259	14035618	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_137450)	promoter-TSS (NM_137450)	64	NM_137450	37071	Dm.14696	NM_137450		CG17680	BcDNA:RE55001|Dmel\CG17680	uncharacterized protein	protein-coding
Merged-chr2R-11002052-3	chr2R	11001896	11002206	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001043082)	promoter-TSS (NM_001043082)	-690	NM_001043082	36678	Dm.11696	NM_137169		chn	CG11798|Chn|Dmel\CG11798|EPIL#6|EPIL6|anon-EST:Liang-1.13|clone 1.13|l(2)02064|l(2)k04218|taco	charlatan	protein-coding
Merged-chr3R-11234778-1	chr3R	11234569	11234988	+	0.000000	Elba3_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_142209)	promoter-TSS (NM_142209)	-395	NM_142209	41883	Dm.1489	NM_142209		Atx2	ATX2|Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|Sca2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|atx-2|atx2|dAtx2|dSCA2|l(3)06490	Ataxin-2	protein-coding
Merged-chr3L-2586989-19	chr3L	2585527	2588137	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_079987)	promoter-TSS (NM_079987)	-292	NM_001274403	44030	Dm.1870	NM_079940		msn	6286|CG16973|DMSN|Dmel\CG16973|HGK|JNKKKK|MESR5|MSN|Msn|NIK|Nik|l(3)03349|l(3)06946|l(3)6286|l(3)j1E2|msm	misshapen	protein-coding
Merged-chr2R-10158084-2	chr2R	10157609	10158320	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_137104)	promoter-TSS (NM_137104)	199	NM_166046	36587	Dm.2979	NM_166045		SelD	142926_at|CG8553|Dm SelD|Dm-SelD|Dmel\CG8553|SPS1|SeS|anon-WO0172774.145|anon-WO0172774.146|dSPS1|dsps1|l(2)SH1599|l(2)SH2 1599|l(2)k12303|ptf1|ptuf|ptuf1|selD|selD/sps1	Selenide,water dikinase	protein-coding
Merged-chr2R-15324985-5	chr2R	15324140	15325493	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1|Elba2_ChIPnexus_narrowPeak_q5.bed	promoter-TSS (NM_001169736)	promoter-TSS (NM_001169736)	-52	NM_001169736	37233	Dm.3041	NM_079069		Fak	CG10023|CT28129|DFAK|DFak|DFak56|Dfak|Dfak56|DmFAK|Dmel\CG10023|FAK|FAK65D|Fak56|Fak56D|dFak|fak|fak56|pFAK|ptk2	Focal adhesion kinase	protein-coding
Merged-chr2R-7417168-1	chr2R	7417067	7417269	+	0.000000	wtInsv__insvInsv	Intergenic	Intergenic	-1453	NM_165841	36240	Dm.22056	NM_078976		en	153867_at|Apa|CG9015|Dmel\CG9015|EN|En|EnR|Eng|Engr|Engrailed|Engrailed/Invected|Es|V|en1|spa2|spt	engrailed	protein-coding
Merged-chrX-15995113-1	chrX	15994840	15995387	+	0.000000	wtInsv__insvInsv	intron (NM_167485, intron 1 of 4)	(CATA)n|Simple_repeat|Simple_repeat	3866	NM_167485	32576	Dm.11619	NM_132878		CG42353	CG9216|Dmel\CG42353|Dmel_CG9216	uncharacterized protein	protein-coding
Merged-chr3L-12059921-1	chr3L	12059833	12060009	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	TTS (NM_001169959)	TTS (NM_001169959)	-1962	NM_001274810	39368	Dm.3499	NM_140285		rols	ANTS|Ants|CG12277|CG17155|CG32096|CG5679|Dmel\CG32096|Rol/Ants|Rols|Rols6|Rols7|anon-WO0257455.19|ants|ants/rols|l(3)08232|l(3)68Fd|l(3)j2A6|rols\ants	rolling pebbles	protein-coding
Merged-chr3L-399815-1	chr3L	399645	399986	+	0.000000	wtInsv__insvInsv	Intergenic	Intergenic	6221	NR_073903	14462823		NR_073903		CR43969	Dmel\CR43969	ncRNA	ncRNA
Merged-chr3R-15821395-1	chr3R	15821253	15821538	+	0.000000	wtInsv__insvInsv	intron (NM_001275821, intron 2 of 5)	intron (NM_001275821, intron 2 of 5)	12839	NM_079685	42380	Dm.33425	NM_079685		Hs6st	CG11683|CG17188|CG18533|CG4451|DmHs6st|Dmel\CG4451|dHS6ST|hs6st	Heparan sulfate 6-O-sulfotransferase	protein-coding
Merged-chr2RHet-2800499-2	chr2RHet	2800114	2800842	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	exon (NM_001015316, exon 3 of 4)	exon (NM_001015316, exon 3 of 4)	24625	NM_001015316	3355040	Dm.27611	NM_001015316		CG17514	Dmel\CG17514	uncharacterized protein	protein-coding
Merged-chr3R-799046-6	chr3R	798424	799500	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	7795	NM_141252	40613	Dm.7223	NM_141252		CG1124	CT1789|Dmel\CG1124	CG1124	protein-coding
Merged-chr3L-128659-2	chr3L	128455	128851	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3	promoter-TSS (NR_124738)	promoter-TSS (NR_124738)	-797	NM_167790	38017	Dm.7033	NM_080382		Pdk1	1210|CG1201|CG1210|DSTPK61|Dmel\CG1210|Dstpk61|PDK|PDK-1|PDK1|PDK1/Pk61C|PK61C|Pk61C|Pk61C/PDK1|Pk61C|PDK1|Pk61c/PDK1|dPDK|dPDK-1|dPDK1|dSTPK61|pdk1|pk61c	Phosphoinositide-dependent kinase 1	protein-coding
Merged-chr2L-19134008-29	chr2L	19131577	19135710	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_136106)	promoter-TSS (NM_136106)	-160	NM_136106	35196	Dm.30851	NM_136106		l(2)37Cg	CG10685|Cg|Dmel\CG10685	lethal (2) 37Cg	protein-coding
Merged-chr3L-8002392-3	chr3L	8002162	8002729	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	intron (NM_168248, intron 3 of 8)	intron (NM_168248, intron 3 of 8)	30299	NM_079243	38890	Dm.3990	NM_079243		nmo	CG7892|Dmel\CG7892|NEMO|NEMO/NLK|NLK|Nemo|Nlk|Nmo|ORE-6|adk|adk1|anon-EST:Gibbs3|anon-EST:Liang-2.43|anon-WO0118547.332|anon-WO0140519.256|anon-WO0172774.138|clone 2.43	nemo	protein-coding
Merged-chr3R-18607356-1	chr3R	18607248	18607465	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NR_074048)	promoter-TSS (NR_074048)	-94	NM_176542	42703		NM_176542		CG7029	Dmel\CG7029	CG7029	protein-coding
Merged-chr3L-11089844-3	chr3L	11089389	11090278	+	0.000000	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1	promoter-TSS (NM_140176)	promoter-TSS (NM_140176)	237	NM_001316483	26067039		NM_001316483		CG33947	BEST:GH03576|BcDNA:GH03576|CR33947|Dmel\CG33947|GH03576|pncr011:3L	uncharacterized protein	protein-coding
Merged-chr3L-21453442-1	chr3L	21453343	21453542	+	0.000000	wtInsv__insvInsv	Intergenic	Intergenic	14508	NM_168905	36173	Dm.562	NM_168905		Syx7	Aval|Avl|CG5081|Dm Syx7|DmSyx7|Dmel\CG5081|FCP-C|SYX7|Syx|avl|braided|dSyn7|syx7|syx7/avl	Syntaxin 7	protein-coding
Merged-chr2L-4222779-1	chr2L	4222670	4222889	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_058149)	promoter-TSS (NM_058149)	-983	NM_058149	33627	Dm.293	NM_058149		ft	79/18|CG3352|CT11259|Dm Fat|Dmel\CG3352|Fat|Ft|l(2)24Da|l(2)79/18|l(2)fat|l(2)fd|l(2)ft|l(2)gd-1|l(2)gd-l|l(2)gd2|l(2)k07918	fat	protein-coding
Merged-chr2R-5314461-2	chr2R	5314284	5314634	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	TTS (NM_136643)	TTS (NM_136643)	515	NM_001103770	35970	Dm.7142	NM_057867		Pdk	BcDNA:LD09837|CG8808|DmPDK|DmPdk|Dmel\CG8808|PDK|pdk	Pyruvate dehydrogenase kinase	protein-coding
Merged-chrX-2032664-3	chrX	2032315	2032949	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1	promoter-TSS (NM_001297874)	promoter-TSS (NM_001297874)	-228	NM_001297874	31181	Dm.5733	NM_057523		ph-p	CG18412|CG18414|Dmel\CG18412|EG:87B1.5|PH|PH-p|PHP|Ph|Ph-p|PhP|dPh|ph|ph-P|ph[P]|ph[p]|phm|php	polyhomeotic proximal	protein-coding
Merged-chr2L-826267-4	chr2L	825653	826860	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3	promoter-TSS (NM_134706)	promoter-TSS (NM_134706)	287	NM_001272916	33262	Dm.5508	NM_057628		dock	CG3727|DOCK|Dm0447|Dmel\CG3727|Dock|Nck|dck|doc|l(2)04723	dreadlocks	protein-coding
Merged-chr3R-12913712-1	chr3R	12913521	12913903	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_142340)	promoter-TSS (NM_142340)	-290	NM_142340	42065	Dm.20203	NM_142340		cal1	CAL1|CG5148|CLD2|Cal1|Dmel\CG5148	chromosome alignment defect 1	protein-coding
Merged-chr3L-20804510-6	chr3L	20804284	20804826	+	0.000000	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NM_001275197, intron 2 of 5)	intron (NM_001275197, intron 2 of 5)	1786	NM_001275199	40302	Dm.31425	NM_141004		HIPP1	CG3680|Dmel\CG3680	HP1 and insulator partner protein 1	protein-coding
Merged-chr3R-1550639-3	chr3R	1550420	1550838	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed	non-coding (NR_125074, exon 1 of 1)	non-coding (NR_125074, exon 1 of 1)	860	NR_125074	19835584		NR_125074		CR44924	Dmel\CR44924|lincRNA.681	ncRNA	ncRNA
Merged-chr4-735660-7	chr4	735496	735826	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NM_166789, intron 4 of 7)	DNAREP1_DM|LINE|Penelope	7606	NM_001014694	43812	Dm.6503	NM_079889		ey	CG1464|DPax-6|Dmel\CG1464|EY|EYEL|Ey|Ey/Pax6|OK107|Pax-6|Pax6|eye|l(4)102CDh|l(4)102CDr|l(4)33|pax6	eyeless	protein-coding
Merged-chrX-9980055-1	chrX	9979864	9980247	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_001042802)	promoter-TSS (NM_001042802)	149	NM_132376	31944	Dm.38622	NM_132376		CG2974	Dmel\CG2974	CG2974	protein-coding
Merged-chr2R-1613689-4	chr2R	1613430	1614003	+	0.000000	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed	5' UTR (NM_001169587, exon 1 of 8)	5' UTR (NM_001169587, exon 1 of 8)	621	NM_165445	35509	Dm.4746	NM_078897		ap	AP|Ap|Apt|CG8376|Dmel\CG8376|LIM|S-2a|Xa|blt|neuro|trw	apterous	protein-coding
Merged-chr3L-3626184-11	chr3L	3625882	3626617	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001104023)	promoter-TSS (NM_001104023)	-103	NM_001104023	38436	Dm.27049	NM_001104023		dar1	CG12029|Dar1|Dmel\CG12029|l(3)63Ed|l(3)SH5	dendritic arbor reduction 1	protein-coding
Merged-chr2R-7489971-2	chr2R	7489746	7490197	+	0.000000	wtElba3__elba3Elba3	intron (NM_001273970, intron 1 of 15)	intron (NM_001273970, intron 1 of 15)	2470	NM_001273970	36241	Dm.2658	NM_078977		tou	CG10897|Dm Tou|Dmel\CG10897|EP(2)0622|EP0622|EP622|TIP5|TOU|Tou|VI|anon-48Ad|gene VI	toutatis	protein-coding
Merged-chr3R-12294464-5	chr3R	12294052	12294867	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NM_001144588, intron 3 of 6)	intron (NM_001144588, intron 3 of 6)	926	NM_001144588	7354465	Dm.4957	NM_001144588		CG42232	CG14896|CG14897|Dmel\CG42232|Dmel_CG14896|Dmel_CG14897|anon-EST:Liang-1.14|clone 1.14	uncharacterized protein	protein-coding
Merged-chr3R-7635367-1	chr3R	7635268	7635467	+	0.000000	wtElba3__elba3Elba3	intron (NM_001275558, intron 2 of 12)	intron (NM_001275558, intron 2 of 12)	-3078	NM_001104282	41428	Dm.10007	NM_169431		ClC-a	CG14726|CG31116|CG6942|CLC-2|Clc-a|DmClC-2|DmClC-a|DmClCa|Dmel\CG31116|FBgn0037951	Chloride channel-a	protein-coding
Merged-chr3R-22702800-1	chr3R	22702657	22702943	+	0.000000	wtElba3__elba3Elba3	TTS (NM_143253)	TTS (NM_143253)	448	NM_143254	43233	Dm.5470	NM_143254		CG5500	Dmel\CG5500	CG5500	protein-coding
Merged-chr2L-6356802-4	chr2L	6355936	6357442	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	TTS (NM_135174)	TTS (NM_135174)	1629	NM_135174	33888		NM_135174		CG9500	AAF52372|Dmel\CG9500|FBpp0078910	CG9500	protein-coding
Merged-chr3L-1375579-1	chr3L	1375541	1375617	+	0.000000	Elba3_ChIPnexus_narrowPeak_q10.bed	intron (NM_080051, intron 1 of 3)	intron (NM_080051, intron 1 of 3)	4951	NM_080051	44856	Dm.1452	NM_080051		ru	CG1214|Dmel\CG1214|Rho-3|Rho-related [62A1]|Rho3|rho-3|rho3	roughoid	protein-coding
Merged-chr3R-26253887-1	chr3R	26253705	26254070	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_001300684)	promoter-TSS (NM_001300684)	13	NM_001300684	43611	Dm.7738	NM_143533		CG2218	Dmel\CG2218|UIP5	CG2218	protein-coding
Merged-chr3L-21110814-2	chr3L	21110556	21111064	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	intron (NM_079469, intron 1 of 7)	intron (NM_079469, intron 1 of 7)	-1703	NR_133288	26067272		NR_133288		CR45945	Dmel\CR45945	ncRNA	ncRNA
Merged-chr3R-13399006-1	chr3R	13398842	13399170	+	0.000000	wtElba3__elba3Elba3	Intergenic	Intergenic	14354	NM_169763	42110	Dm.27474	NM_169763		Hmx	CG18139|CG34419|CG43748|CG5829|CG5832|DHmx|Dmel\CG43748|Dmel_CG18139|Dmel_CG34419|Dmel_CG5829|Dmel_CG5832	H6-like-homeobox	protein-coding
Merged-chrX-15701590-1	chrX	15701468	15701712	+	0.000000	wtInsv__insvInsv	non-coding (NR_123926, exon 2 of 2)	non-coding (NR_123926, exon 2 of 2)	392	NR_123926	19835556		NR_123926		CR44384	Dmel\CR44384	ncRNA	ncRNA
