PeakID (cmd=annotatePeaks.pl /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/Insv_ChIPnexus_q10_narrowPeak.bed dm3 -genomeOntology /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/ -annStats /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/Insv_ChIPnexus_q10_narrowPeak_stat.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Insv_ChIPnexus_peak_10696c	chr3R	15846783	15847131	+	423	NA	promoter-TSS (NM_142601)	promoter-TSS (NM_142601)	103	NM_142600	42388	Dm.16692	NM_142600		CG4433	Dmel\CG4433	CG4433	protein-coding
Insv_ChIPnexus_peak_6762	chr3L	10264814	10265037	+	423	NA	Intergenic	Intergenic	-1379	NM_140133	39191	Dm.27107	NM_140133		Or67d	67d|CG14157|Dmel\CG14157|OR67d	Odorant receptor 67d	protein-coding
Insv_ChIPnexus_peak_3295	chr2R	5300827	5301050	+	423	NA	promoter-TSS (NM_080252)	promoter-TSS (NM_080252)	30	NM_001259294	35966	Dm.3348	NM_057845		wun	CG8804|Dmel\CG8804|LPP-like|Wun|Wunen|l(2)k16806	wunen	protein-coding
Insv_ChIPnexus_peak_14296e	chrX	16549261	16550304	+	423	NA	promoter-TSS (NM_132914)	promoter-TSS (NM_132914)	279	NM_206765	32640	Dm.4956	NM_078653		r	ACT|CAD|CG18572|CG4601|CPS|DHO|DRORUD|Dmel\CG18572|GAT|PYR1|Su(b)|csp2|fs(1)829|fs(1)M34|l(1)Ab	rudimentary	protein-coding
Insv_ChIPnexus_peak_1151b	chr2L	8960691	8961022	+	423	NA	exon (NM_135416, exon 1 of 1)	exon (NM_135416, exon 1 of 1)	1498	NM_001273341	34217	Dm.27670	NM_135416		CG9525	Dmel\CG9525|gi7297470	CG9525	protein-coding
Insv_ChIPnexus_peak_8455	chr3L	22721110	22721380	+	423	NA	promoter-TSS (NM_141155)	promoter-TSS (NM_141155)	34	NM_141155	40491	Dm.4411	NM_141155		CG11367	Dmel\CG11367	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_2706b	chr2L	22131296	22131779	+	423	NA	non-coding (NR_048039, exon 2 of 2)	non-coding (NR_048039, exon 2 of 2)	316	NR_048039	12798533		NR_048037		CR43241	Dmel\CR43241|lincRNA.229	ncRNA	ncRNA
Insv_ChIPnexus_peak_11722b	chr3R	25151551	25151904	+	423	NA	Intergenic	Intergenic	-6361	NM_170407	44643	Dm.8009	NM_057809		Cnx99A	CG11958|Cnx|Cnx99a|Dmel\CG11958|cnx	Calnexin 99A	protein-coding
Insv_ChIPnexus_peak_10321b	chr3R	12803329	12804341	+	422	NA	promoter-TSS (NM_080062)	promoter-TSS (NM_080062)	-318	NM_080062	44964	Dm.27930	NM_080062		Actn3	CG8953|Dmel\CG8953|ORF1|acta-3|dabp	alpha actinin 3	protein-coding
Insv_ChIPnexus_peak_2621a	chr2L	21407176	21407693	+	422	NA	Intergenic	IDEFIX_I|LTR|Gypsy	-9519	NM_001032213	3772409		NM_001032213		His1:CG33864	CG33864|Dmel\CG33864	histone H1	protein-coding
Insv_ChIPnexus_peak_11274c	chr3R	20455706	20456796	+	421	NA	promoter-TSS (NM_001300577)	promoter-TSS (NM_001300577)	-62	NM_001300577	42934	Dm.31277	NM_143017		atl	ATL|Atl|CG6668|Dmel\CG6668	atlastin	protein-coding
Insv_ChIPnexus_peak_11137a	chr3R	19559312	19559803	+	421	NA	promoter-TSS (NM_170088)	promoter-TSS (NM_170088)	-373	NM_170088	42802	Dm.3423	NM_142920		Rpn9	0718/06|718/06|CG10230|CT28749|Dmel\CG10230|PSMD13|Rpn4|Rpn94|S11|l(3)S071806|l(3)S071806b|p39A|rpn9	Regulatory particle non-ATPase 9	protein-coding
Insv_ChIPnexus_peak_3671b	chr2R	7924629	7924897	+	421	NA	promoter-TSS (NM_080485)	promoter-TSS (NM_080485)	-40	NM_080485	36288	Dm.7739	NM_080485		128up	CG8340|Dmel\CG8340|GTP-bp|Gtp-bp|X71866	upstream of RpIII128	protein-coding
Insv_ChIPnexus_peak_14262a	chrX	16316195	16316932	+	421	NA	promoter-TSS (NM_001144732)	promoter-TSS (NM_001144732)	-265	NM_001272688	32612	Dm.12489	NM_078646		AnxB11	ANXB11|Anxb11|BcDNA:GH16395|CG9968|Dmel\CG9968|annexin	Annexin B11	protein-coding
Insv_ChIPnexus_peak_5862	chr3L	2458512	2458967	+	420	NA	intron (NM_206246, intron 1 of 11)	intron (NM_206246, intron 1 of 11)	836	NM_001202105	38306	Dm.6482	NM_139462		CG45186	CG1141|CG12790|CG13797|CG13798|CG13799|CG13800|CG16763|CG16764|CG32306|CG33231|CG33232|CG42669|Dmel\CG45186|Dmel_CG13800|Dmel_CG32306|Dmel_CG33231|Dmel_CG33232|Dmel_CG42669|c62E-11	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_2787	chr2R	1010476	1010655	+	420	NA	promoter-TSS (NM_001259211)	promoter-TSS (NM_001259211)	-813	NM_165419	35478	Dm.7323	NM_136314		gus	A11|CG2944|CG2946|Dmel\CG2944|GUS|Gus|dmSSB4|i25	gustavus	protein-coding
Insv_ChIPnexus_peak_10506	chr3R	14138428	14138600	+	420	NA	intron (NM_001275778, intron 1 of 4)	intron (NM_001275778, intron 1 of 4)	1615	NM_001275778	42203	Dm.13712	NM_142453		PKD	150131_at|CG7125|Dmel\CG7125|PKCm|dPKD	Protein Kinase D	protein-coding
Insv_ChIPnexus_peak_12997c	chrX	5591662	5592361	+	419	NA	promoter-TSS (NM_132019)	promoter-TSS (NM_132019)	-579	NM_132019	31490	Dm.13429	NM_132019		CG4096	CT13580|Dmel\CG4096	CG4096	protein-coding
Insv_ChIPnexus_peak_8532b	chr3L	23720829	23721021	+	419	NA	exon (NM_001043166, exon 1 of 1)	exon (NM_001043166, exon 1 of 1)	996	NM_001043166	3355149	Dm.34739	NM_001043166		CG40298	Dmel\CG40298	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_14485c	chrX	17985231	17985674	+	419	NA	promoter-TSS (NM_001258799)	promoter-TSS (NM_001258799)	160	NM_078672	32789	Dm.7957	NM_078672		scu	17beta-HSD10|CG7113|Dmel\CG7113|HL-X|HLII|MRPP2|Scu|l(1)16Fd|l(1)17Ad	scully	protein-coding
Insv_ChIPnexus_peak_10558	chr3R	14546492	14546714	+	419	NA	TTS (NR_133417)	TTS (NR_133417)	1258	NR_133417	26067575		NR_133417		CR46265	Dmel\CR46265	ncRNA	ncRNA
Insv_ChIPnexus_peak_8822e	chr3R	1396431	1397785	+	419	NA	TTS (NM_169069)	TTS (NM_169069)	278	NM_057959	40675	Dm.3083	NM_057959		CRMP	BcDNA:HL02693|CG1411|DHP|Dmel\CG1411|EP(3)3238|EP3238|Pyd2|crmp|l(3)83Ba|pyd2	Collapsin Response Mediator Protein	protein-coding
Insv_ChIPnexus_peak_12626d	chrX	1974419	1975081	+	419	NA	promoter-TSS (NM_130624)	promoter-TSS (NM_130624)	107	NM_166927	31179	Dm.20488	NM_130625		Unc-76	BcDNA:GH10260|CG18851|CG3981|Dmel\CG3981|Dunc-76|EG:67A9.1|UNC-76|l(1)G0066|l(1)G0158|l(1)G0310|l(1)G0333|l(1)G0360|unc-76	Unc-76	protein-coding
Insv_ChIPnexus_peak_11313c	chr3R	20743544	20744273	+	419	NA	promoter-TSS (NM_001170244)	promoter-TSS (NM_001170244)	80	NM_001170244	42981	Dm.4018	NM_143054		CG11168	Dmel\CG11168	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_13995b	chrX	14094086	14094834	+	419	NA	promoter-TSS (NM_132719)	promoter-TSS (NM_132719)	249	NM_132717	32368	Dm.19154	NM_132717		CG11590	BcDNA:GM24986|Dmel\CG11590	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_14084b	chrX	15347258	15347626	+	418	NA	promoter-TSS (NM_132796)	promoter-TSS (NM_132796)	-62	NM_132796	32472	Dm.5340	NM_132796		CG11655	Dmel\CG11655	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_148d	chr2L	973879	974722	+	418	NA	Intergenic	Intergenic	17000	NR_144655	19834880		NR_144655		CR44801	Dmel\CR44801|lincRNA.6	ncRNA	ncRNA
Insv_ChIPnexus_peak_8822c	chr3R	1396431	1397785	+	418	NA	TTS (NM_169069)	TTS (NM_169069)	278	NM_057959	40675	Dm.3083	NM_057959		CRMP	BcDNA:HL02693|CG1411|DHP|Dmel\CG1411|EP(3)3238|EP3238|Pyd2|crmp|l(3)83Ba|pyd2	Collapsin Response Mediator Protein	protein-coding
Insv_ChIPnexus_peak_12243b	chr4	1102633	1103013	+	418	NA	exon (NM_143685, exon 2 of 6)	exon (NM_143685, exon 2 of 6)	2599	NM_143685	43826	Dm.5732	NM_143685		Actbeta	Act|Act-beta|Activin|CG11062|Dmel\CG11062|act|actbeta|activin-beta|anon-WO02059370.79|beta-Activin|dACT|dAct|dActivin|dact	Activin-beta	protein-coding
Insv_ChIPnexus_peak_3223b	chr2R	4780961	4781503	+	417	NA	TTS (NM_079951)	TTS (NM_079951)	114	NM_165630	35877		NM_136570		Sec31	CG8266|Dmel\CG8266|SEC31|dSec31p|sec31	Secretory 31	protein-coding
Insv_ChIPnexus_peak_3128b	chr2R	3876240	3877449	+	417	NA	promoter-TSS (NM_136499)	promoter-TSS (NM_136499)	375	NM_001299248	35761	Dm.11366	NM_136498		ACC	A1Z784_DROME|ACoT|CG11198|CG8723|DmACC|Dmel\CG11198|FBgn0043811|dACC	Acetyl-CoA carboxylase	protein-coding
Insv_ChIPnexus_peak_6452a	chr3L	7706420	7706903	+	417	NA	promoter-TSS (NM_001104068)	promoter-TSS (NM_001104068)	86	NM_001274608	38863	Dm.3260	NM_139891		Ank2	CG18025|CG18227|CG18768|CG32373|CG32375|CG32377|CG32377/CG34416|CG34121|CG34158|CG34416|CG42734|CG7462|CG7493|DAnk2|Dank2|Dmel\CG42734|Dmel_CG32375|Dmel_CG32377|Dmel_CG34121|Dmel_CG34158|Dmel_CG34416|Dmel_CG7462|ESTS:149B10S|SP2523|ank2|ank2-L|dank2|sp2523	Ankyrin 2	protein-coding
Insv_ChIPnexus_peak_205b	chr2L	1669420	1670180	+	417	NA	intron (NM_134766, intron 1 of 5)	intron (NM_134766, intron 1 of 5)	1953	NM_164428	33343	Dm.3973	NM_134766		chinmo	CG10871|CG17156|CG17649|CG31666|Chinmo|Dmel\CG31666|F|l(2)04111	Chronologically inappropriate morphogenesis	protein-coding
Insv_ChIPnexus_peak_1876b	chr2L	15043415	15044260	+	417	NA	TTS (NM_057520)	TTS (NM_057520)	4349	NM_001299019	34881	Dm.2288	NM_057520		Su(H)	BG:DS00929.10|C|CBF1|CG3497|CSL|D|Dmel\CG3497|E(H)|FTZ-F2|RBJK_DROME|RBP-J kappa|RBP-J[[Kappa]]|RBP-Jkappa|SU(H)|SUH|Su(h)|SuH|Su_H|anon-WO0257455.3|br7|dRBP-JK|dRBP-J[[Kappa]]|dRBP-Jk|l(1)br7|l(2)35Bh|l(2)br7|l(2)k07904|oss|su(H)	Suppressor of Hairless	protein-coding
Insv_ChIPnexus_peak_13192b	chrX	7135947	7136225	+	416	NA	TTS (NM_001103430)	TTS (NM_001103430)	15598	NM_001103430	31660	Dm.20992	NM_132157		CG9650	Dmel\CG9650	CG9650	protein-coding
Insv_ChIPnexus_peak_13714c	chrX	11515407	11516471	+	416	NA	promoter-TSS (NM_001144715)	promoter-TSS (NM_001144715)	-109	NM_206691	32115	Dm.7386	NM_167292		Ptp10D	10D|CG1817|CT4920|DPTP|DPTP10D|DPTP[[10D]]|Dmel\CG1817|PTP10D|Ptp10|R-PTP 10D|dptp|ptp10D|ptp10d	Protein tyrosine phosphatase 10D	protein-coding
Insv_ChIPnexus_peak_4970c	chr2R	17417723	17418029	+	416	NA	intron (NM_057410, intron 1 of 4)	intron (NM_057410, intron 1 of 4)	1824	NR_124678	19835497		NR_124678		CR44725	Dmel\CR44725	ncRNA	ncRNA
Insv_ChIPnexus_peak_13955b	chrX	13629494	13630437	+	415	NA	promoter-TSS (NM_001272600)	promoter-TSS (NM_001272600)	-243	NM_001272600	44819	Dm.1817	NM_080046		g	AP-3delta|AP3delta|CG10986|CG11197|Dmel\CG10986|apl5|cg11197|delta|l(1)Mc19	garnet	protein-coding
Insv_ChIPnexus_peak_9795c	chr3R	8904023	8904630	+	415	NA	TTS (NM_079616)	TTS (NM_079616)	6205	NM_079616	41612	Dm.4557	NM_079616		sim	0483/09|0716/08|0899/14|0953/08|1002/10|1034/02|1050/13|1110/04|1111/10|1330/08|1479/04|CG7771|Dmel\CG7771|S8|SIM|Sim|bHLHe16|l(3)87Ea|l(3)E320|l(3)RD|l(3)S8|l(3)s8|schm|shm	single-minded	protein-coding
Insv_ChIPnexus_peak_7994f	chr3L	19611296	19612098	+	414	NA	promoter-TSS (NM_140878)	promoter-TSS (NM_140878)	-76	NM_140878	40140	Dm.4125	NM_140878		l(3)76BDm	CG8793|Dmel\CG8793|l(3)L3809	lethal (3) 76BDm	protein-coding
Insv_ChIPnexus_peak_12840b	chrX	3862447	3862698	+	414	NA	promoter-TSS (NR_123785)	promoter-TSS (NR_123785)	116	NM_130732	31351	Dm.13424	NM_130732		CG6428	CG-6428|Dmel\CG6428	CG6428	protein-coding
Insv_ChIPnexus_peak_13871b	chrX	12998495	12999180	+	414	NA	intron (NM_001298255, intron 1 of 5)	intron (NM_001298255, intron 1 of 5)	3390	NM_132626	32260	Dm.26622	NM_132626		Fer3HCH	CG4349|Dmel\CG4349|Fer3|Fer3 HCH	Ferritin 3 heavy chain homologue	protein-coding
Insv_ChIPnexus_peak_14147a	chrX	15656396	15657253	+	414	NA	promoter-TSS (NM_001103517)	promoter-TSS (NM_001103517)	-165	NM_001103517	32524		NM_001103517		CG17209	Dmel\CG17209	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_4644a	chr2R	14706827	14707897	+	414	NA	intron (NM_143773, intron 2 of 5)	intron (NM_143773, intron 2 of 5)	390	NM_143773	46038	Dm.7127	NM_143773		Phb2	CG15081|Dmel\CG15081|anon-WO0118547.157|anon-WO02079478.4|l (2) 03709|l(2)03709|phb2	Prohibitin 2	protein-coding
Insv_ChIPnexus_peak_12590b	chrX	1717206	1717520	+	414	NA	promoter-TSS (NM_130586)	promoter-TSS (NM_130586)	-832	NM_001258551	31136	Dm.19	NM_130589		prage	CG14799|CG14800|CG14801|CG17968|CG42666|Dmel\CG42666|Dmel_CG14799|Dmel_CG14801|EG:131F2.2|EG:137E7.1|prg	prage	protein-coding
Insv_ChIPnexus_peak_13434b	chrX	9003938	9004851	+	413	NA	promoter-TSS (NM_001258660)	promoter-TSS (NM_001258660)	-281	NM_001258660	31842	Dm.5374	NM_132299		AP-1gamma	AP-1|AP-1 gamma|AP-1[gamma]|AP1gamma|AP1gamma1|Ap-1|CG9113|Dmel\CG9113|apl4|cg9113|dgamma|gamma|gamma-Ada	Adaptor Protein complex 1, gamma subunit	protein-coding
Insv_ChIPnexus_peak_3537	chr2R	7153455	7153777	+	413	NA	TTS (NM_136816)	TTS (NM_136816)	985	NM_136815	36193	Dm.14040	NM_136815		Cpr47Ee	CG13222|DmelCpr47Ee|Dmel\CG13222	Cuticular protein 47Ee	protein-coding
Insv_ChIPnexus_peak_14147b	chrX	15656396	15657253	+	413	NA	promoter-TSS (NM_001103517)	promoter-TSS (NM_001103517)	-165	NM_001103517	32524		NM_001103517		CG17209	Dmel\CG17209	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_5514c	chr2RHet	3164514	3165330	+	412	NA	intron (NM_001276233, intron 6 of 9)	intron (NM_001276233, intron 6 of 9)	-14665	NR_125318	19835838		NR_125318		CR45139	Dmel\CR45139	ncRNA	ncRNA
Insv_ChIPnexus_peak_6885e	chr3L	11208731	11209601	+	412	NA	intron (NM_001300101, intron 1 of 6)	intron (NM_001300101, intron 1 of 6)	287	NM_001259787	39268	Dm.15398	NM_140197		CG42671	CG18490|CG34240|Dmel\CG42671|Dmel_CG18490|Dmel_CG34240	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_11013b	chr3R	18356211	18356473	+	412	NA	promoter-TSS (NM_176537)	promoter-TSS (NM_176537)	-48	NM_176537	326254	Dm.21163	NM_176537		CG33099	CG5340|Dmel\CG33099	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_8411c	chr3L	22340465	22341212	+	412	NA	TTS (NR_133305)	TTS (NR_133305)	2355	NR_133304	26067290		NR_133304		CR45963	Dmel\CR45963	ncRNA	ncRNA
Insv_ChIPnexus_peak_13298c	chrX	7859602	7860626	+	412	NA	intron (NM_167140, intron 1 of 10)	intron (NM_167140, intron 1 of 10)	2057	NM_078521	31717	Dm.7274	NM_078521		sn	CG15331|CG1536|CG32858|Dmel\CG32858|SN|Sn|fs(1)A1057|fs(1)K1421|fs(1)K418|fs(1)K473|fs(1)K743|fs(1)M45	singed	protein-coding
Insv_ChIPnexus_peak_8925b	chr3R	2176973	2177672	+	411	NA	intron (NM_169136, intron 1 of 7)	intron (NM_169136, intron 1 of 7)	704	NM_169137	44039	Dm.1868	NM_079942		Pak	CG10295|D-Pak|DPAK|DPak|DPak1|DmPAK1|Dmel\CG10295|Dpak|Dpak1|PAK|PAK-1|PAK1|PAK2|PaK|Pak1|dPAK|dPAK1|dPak|dpak|dpak1|l(3)psg4|p65[PAK]|pak|pak1|psg4	p21-activated kinase	protein-coding
Insv_ChIPnexus_peak_13419c	chrX	8790899	8791861	+	411	NA	intron (NM_001272432, intron 1 of 8)	intron (NM_001272432, intron 1 of 8)	653	NM_206668	31816	Dm.6642	NM_080343		Moe	CG10701|D17|DMoe|Dmel\CG10701|Dmoe|EMR1|ERM|Emr1|Moes|anon-WO03040301.155|anon-WO03040301.157|anon-WO03040301.159|anon-WO03040301.161|dMoe|gma|l(1)G0067|l(1)G0323|l(1)G0404|l(1)G0415|moe|moesin|moesin/ezrin/radixin homolog mRNA	Moesin	protein-coding
Insv_ChIPnexus_peak_6885d	chr3L	11208731	11209601	+	411	NA	intron (NM_001300101, intron 1 of 6)	intron (NM_001300101, intron 1 of 6)	287	NM_001259787	39268	Dm.15398	NM_140197		CG42671	CG18490|CG34240|Dmel\CG42671|Dmel_CG18490|Dmel_CG34240	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_14683f	chrX	19744839	19746307	+	411	NA	promoter-TSS (NM_134518)	promoter-TSS (NM_134518)	519	NM_134519	33003	Dm.20466	NM_134519		pico	BcDNA:LP01106|CG11940|Dmel\CG11940|Grb10|Pico|jog	pico	protein-coding
Insv_ChIPnexus_peak_979b	chr2L	7997383	7997777	+	411	NA	5' UTR (NM_135325, exon 2 of 6)	5' UTR (NM_135325, exon 2 of 6)	124	NM_001298804	34088	Dm.3920	NM_135325		CG7227	Dmel\CG7227	CG7227	protein-coding
Insv_ChIPnexus_peak_12637a	chrX	2018327	2018813	+	411	NA	Intergenic	Intergenic	-1251	NM_001103395	44889		NM_080055		ph-d	CG3895|DROZFP|Dmel\CG3895|EG:BACN25G24.3|PH|PH-d|PHD|Ph|Ph-d|PhD|ph|ph-D|ph[D]|ph[d]|phd|phm	polyhomeotic distal	protein-coding
Insv_ChIPnexus_peak_7064b	chr3L	12637864	12638128	+	411	NA	non-coding (NR_124907, exon 4 of 7)	non-coding (NR_124907, exon 4 of 7)	8194	NR_048272	12798225		NR_048272		CR43431	Dmel\CR43431	ncRNA	ncRNA
Insv_ChIPnexus_peak_6496f	chr3L	8059123	8060944	+	410	NA	intron (NM_001259733, intron 1 of 11)	intron (NM_001259733, intron 1 of 11)	2334	NM_001169905	8674107	Dm.37522	NM_001169905		CG42590	Dmel\CG42590	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_13256c	chrX	7599792	7600513	+	410	NA	intron (NM_001272383, intron 1 of 5)	intron (NM_001272383, intron 1 of 5)	-1156	NM_206639	31678	Dm.31076	NM_078516		CHES-1-like	CG12690|Ches-1-like|Ches1|Dmches-1|Dmel\CG12690|FoxN|anon-EST:Posey7|ches1	Checkpoint suppressor 1-like	protein-coding
Insv_ChIPnexus_peak_368d	chr2L	3158090	3159437	+	410	NA	intron (NM_057669, intron 1 of 3)	intron (NM_057669, intron 1 of 3)	880	NM_057669	33529	Dm.7367	NM_057669		Mad	2/23|CG12399|Dmel\CG12399|E(zen)2|En(vvl)|MAD|Mat|P-Mad|P-mad|PMad|Smad|Smad1|apg|c28|dMAD|dMad|l(2)K00237|l(2)k00237|mad|p-Mad|pMAD|pMad|pSmad	Mothers against dpp	protein-coding
Insv_ChIPnexus_peak_13197b	chrX	7173205	7173569	+	410	NA	intron (NR_123820, intron 2 of 4)	intron (NR_123820, intron 2 of 4)	5523	NM_001298047	31662	Dm.33530	NM_132159		CG1677	Dmel\CG1677	CG1677	protein-coding
Insv_ChIPnexus_peak_5576c	chr3L	333510	334068	+	409	NA	TTS (NM_138186)	TTS (NM_138186)	-1480	NM_138185	38056	Dm.6360	NM_138185		mthl9	CG17084|Dmel\CG17084|Mth-9|anon-WO0170980.163|anon-WO0170980.164	methuselah-like 9	protein-coding
Insv_ChIPnexus_peak_2216a	chr2L	18604878	18605353	+	409	NA	promoter-TSS (NM_136043)	promoter-TSS (NM_136043)	-93	NM_136043	35111	Dm.6777	NM_136043		CG10413	Dmel\CG10413	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_2995d	chr2R	3007265	3008063	+	409	NA	intron (NM_165507, intron 4 of 6)	intron (NM_165507, intron 4 of 6)	9649	NM_078921	35634	Dm.2852	NM_078921		Cyp9b1	9b1|CG4485|CYP9B1|Dmel\CG4485|P-450|P450	Cytochrome P450-9b1	protein-coding
Insv_ChIPnexus_peak_10333b	chr3R	12846728	12847012	+	409	NA	promoter-TSS (NM_142329)	promoter-TSS (NM_142329)	-28	NM_142329	42051	Dm.1226	NM_142329		AdSL	CG3590|Dmel\CG3590	Adenylosuccinate Lyase	protein-coding
Insv_ChIPnexus_peak_7165f	chr3L	13443747	13445171	+	409	NA	5' UTR (NM_140396, exon 1 of 15)	5' UTR (NM_140396, exon 1 of 15)	589	NM_168547	39516	Dm.27139	NM_140396		CG10738	Dmel\CG10738|GYC	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_11200c	chr3R	19882940	19883686	+	409	NA	promoter-TSS (NM_079750)	promoter-TSS (NM_079750)	-281	NM_079750	42852	Dm.23337	NM_079750		Hsp68	68|CG5436|DmHsp68|Dmel\CG5436|HSP68|HSP68_DROME|Hsp-68|hsp68	Heat shock protein 68	protein-coding
Insv_ChIPnexus_peak_13386c	chrX	8500332	8500789	+	409	NA	promoter-TSS (NM_132267)	promoter-TSS (NM_132267)	-223	NM_132267	31801	Dm.7399	NM_132267		Caf1-180	CAF-1 p180|CAF1-180|CAF1-p180|CAF1p180|CG12109|Caf-180|Dmel\CG12109|NURF|caf1-180|dCAF-1-180|dCAF-1-p180|p180	Chromatin assembly factor 1, p180 subunit	protein-coding
Insv_ChIPnexus_peak_2939c	chr2R	2519833	2520383	+	408	NA	promoter-TSS (NM_165476)	promoter-TSS (NM_165476)	-219	NM_165475	44307	Dm.6911	NM_057453		Vha16-1	ATP6V0C|BcDNA:SD02875|CG3161|Dmel\CG3161|DucC|EP2372|MRE15|V-ATPase|Vha1|Vha16|Vhac|vha16|vha16-1	Vacuolar H[+] ATPase 16kD subunit 1	protein-coding
Insv_ChIPnexus_peak_6202b	chr3L	5352824	5353097	+	408	NA	promoter-TSS (NM_139701)	promoter-TSS (NM_139701)	-351	NM_001259708	38612	Dm.7320	NM_139701		Cyt-c1	CG4769|CY1|Dmel\CG4769|anon-EST:Posey141	Cytochrome c1	protein-coding
Insv_ChIPnexus_peak_9906d	chr3R	9851586	9852682	+	408	NA	promoter-TSS (NM_142068)	promoter-TSS (NM_142068)	-450	NM_142068	41704	Dm.10784	NM_142068		rdx	0869/09|BEST:GM07940|CG10235|CG12537|CG9924|D-SPOP|Dmel\CG12537|Dmel_CG9924|Dromel_CG9924_FBtr0082871_rdx_mORF|HIB|Hib|Rdx|SPOP|Spop|anon-WO0118547.577|hib|l(3)03477|l(3)2004|l(3)88Aa|l(3)A6|l(3)S086909|l(3)SG40|l(3)dsl-6|l(3)dsl6|l(3)j1D1|l(3)j4C7|mei-P19	roadkill	protein-coding
Insv_ChIPnexus_peak_5855	chr3L	2432975	2433247	+	408	NA	intron (NM_001299986, intron 1 of 16)	intron (NM_001299986, intron 1 of 16)	4201	NM_001299986	38306	Dm.6482	NM_139462		CG45186	CG1141|CG12790|CG13797|CG13798|CG13799|CG13800|CG16763|CG16764|CG32306|CG33231|CG33232|CG42669|Dmel\CG45186|Dmel_CG13800|Dmel_CG32306|Dmel_CG33231|Dmel_CG33232|Dmel_CG42669|c62E-11	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_13796b	chrX	12360757	12361722	+	408	NA	intron (NM_132573, intron 2 of 5)	intron (NM_132573, intron 2 of 5)	3678	NM_132573	32196	Dm.12832	NM_132573		CG42258	BcDNA:RE29468|CG15926|CG17788|Dmel\CG42258|Dmel_CG15926|Dmel_CG17788|Pripl4	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_10175g	chr3R	11925435	11926437	+	408	NA	promoter-TSS (NM_001300424)	promoter-TSS (NM_001300424)	-546	NM_001300424	41957	Dm.1219	NM_169705		Akt1	AKT|AKT/PKB|AKT1|Akt|Akt/PKB|Akt1|PKB|CG4006|D-Akt|DAKT1|DAKT1/PKB|DAkt|DAkt1|DPKB|DRAC-PK|DRAC-PK66|DRAC-PK85|Dakt|Dakt1|Dmel\CG4006|Dpkb|PKB|PKB/AKT|PKB/Akt|PKB/dAKT|RAC|RacPK|akt|akt1|dAKT|dAKT/dPKB|dAKT1|dAkt|dAkt/PKB|dAkt1|dPKB|dakt|dakt1|l(3)04226|l(3)89Bq|p-Akt|pAkt	Akt1	protein-coding
Insv_ChIPnexus_peak_2981d	chr2R	2895894	2896657	+	408	NA	TTS (NM_078905)	TTS (NM_078905)	2328	NM_078905	35612	Dm.498	NM_078905		Tsp42Ec	CG12847|Dm.Tsp42Ec|Dmel\CG12847	Tetraspanin 42Ec	protein-coding
Insv_ChIPnexus_peak_313b	chr2L	2856680	2857713	+	408	NA	promoter-TSS (NM_134881)	promoter-TSS (NM_134881)	32	NM_134881	33488	Dm.33549	NM_134881		CG2991	CT10107|CT42388|Dmel\CG2991	CG2991	protein-coding
Insv_ChIPnexus_peak_4735a	chr2R	15520484	15520887	+	408	NA	promoter-TSS (NR_124625)	promoter-TSS (NR_124625)	-15	NR_124625	19834730		NR_124625		CR44503	Dmel\CR44503	ncRNA	ncRNA
Insv_ChIPnexus_peak_113c	chr2L	581028	581751	+	408	NA	Intergenic	Intergenic	3903	NM_057982	33239	Dm.3056	NM_057982		Pph13	60Mun1|CG2819|Dmel\CG2819|Mu|PPH13|pph13	PvuII-PstI homology 13	protein-coding
Insv_ChIPnexus_peak_14659f	chrX	19590999	19591927	+	407	NA	intron (NM_001258833, intron 1 of 2)	intron (NM_001258833, intron 1 of 2)	339	NM_001258833	32981	Dm.2867	NM_078690		Cdc42	CDC42|CG12530|Cdc42Dm|D-CDC42|D-Cdc42|D-cdc42|DCDC42|DCdc42|Dcdc42|Dm Cdc42|DmCDC42|Dmcdc42|Dmel\CG12530|P40793|cdc42	Cdc42	protein-coding
