PeakID (cmd=annotatePeaks.pl /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/Insv_ChIPnexus_q5_narrowPeak.bed dm3 -genomeOntology /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/ -annStats /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/Insv_ChIPnexus_q5_narrowPeak_stat.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Insv_ChIPnexus_peak_13054	chrX	6147859	6147950	+	202	NA	intron (NM_132074, intron 1 of 14)	intron (NM_132074, intron 1 of 14)	1616	NM_132074	31557		NM_132074		Rbcn-3A	CG3585|DmX|Dmel\CG3585|Dmx|FV10|X|anon-X	Rabconnectin-3A	protein-coding
Insv_ChIPnexus_peak_9332a	chr3R	5243266	5244622	+	202	NA	TTS (NM_079567)	TTS (NM_079567)	282	NM_001202270	44258	Dm.6913	NM_169280		ps	BcDNA:RE47781|CG16765|CG16776|CG16777|CG18509|CG42670|CG8144|Dmel\CG42670|Dmel_CG16765|Dmel_CG16777|EP(3)3406|NOVA1|PS|cg8144|l(3)10615	pasilla	protein-coding
Insv_ChIPnexus_peak_14293	chrX	16543011	16543132	+	202	NA	3' UTR (NM_132912, exon 2 of 2)	3' UTR (NM_132912, exon 2 of 2)	-2338	NM_001169305	8674080	Dm.23165	NM_001169305		CG42512	CG42528|Dmel\CG42512|Dromel_CG32573_FBtr0074315_uORF	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_7231a	chr3L	14104605	14104887	+	202	NA	TTS (NM_140438)	TTS (NM_140438)	-3528	NM_140437	39567	Dm.24001	NM_140437		Sox21a	CG7345|Dmel\CG7345|SOXB2.3|Sox B2-3|Sox21|SoxB2.3	Sox21a	protein-coding
Insv_ChIPnexus_peak_12068b	chr3RHet	1955629	1955867	+	202	NA	intron (NM_001110982, intron 3 of 5)	FW_DM|LINE|Jockey	20542	NM_001110982	3355109	Dm.7847	NM_001110982		Parp	BEST:LD21673|CG17685|CG17696|CG17718|CG40411|D.PARP|Dm.pARTa|Dmel\CG40411|LD21673.3prime|PARP|PARP-1|PARP1|Parp1|dPARP|dmparp|parp	Poly-(ADP-ribose) polymerase	protein-coding
Insv_ChIPnexus_peak_11567	chr3R	23408475	23408641	+	202	NA	promoter-TSS (NM_080260)	promoter-TSS (NM_080260)	-4	NM_080260	53569	Dm.7372	NM_080260		pins	CG5692|Dmel\CG5692|PINS|Pins|Rad|Raps|rad|raps|rapsyn	partner of inscuteable	protein-coding
Insv_ChIPnexus_peak_7771a	chr3L	17658378	17658658	+	202	NA	intron (NM_001275068, intron 1 of 1)	(TTCGGG)n|Simple_repeat|Simple_repeat	3312	NR_002488	3772709		NR_002488		snmRNA:641	CR33683|Dm-641|Dmel\CR33683	small non-messenger RNA 641	ncRNA
Insv_ChIPnexus_peak_3564	chr2R	7298401	7298611	+	202	NA	promoter-TSS (NM_001038851)	promoter-TSS (NM_001038851)	-563	NM_001038851	3885601	Dm.24451	NM_001038851		CG34054	BP1079|Dmel\CG34054|HDC05792	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_1251d	chr2L	9613292	9613986	+	201	NA	TTS (NM_135458)	TTS (NM_135458)	225	NM_078802	34281	Dm.2664	NM_078802		Trx-2	31884|CG31884|CG3864|DTrx-2|DmTrx-2|DmelTrx-2|Dmel\CG31884|Trx|anon-WO0118547.188|dmtrx-2	thioredoxin-2	protein-coding
Insv_ChIPnexus_peak_7370c	chr3L	14965463	14966445	+	201	NA	exon (NM_057541, exon 1 of 1)	exon (NM_057541, exon 1 of 1)	187	NM_057541	39620	Dm.2286	NM_057541		Brd	Brd-C|CG3096|DmelCG3096|Dmel\CG3096|brd	Bearded	protein-coding
Insv_ChIPnexus_peak_90	chr2L	452775	453188	+	201	NA	promoter-TSS (NM_134681)	promoter-TSS (NM_134681)	43	NM_001272896	33219	Dm.19756	NM_175943		crq	CD36|CG31655|CG4280|CRQ|Cd36|Cqr|Crq|D-CD36|Dmel\CG4280|anon-WO0140519.8|cqm|cqr	croquemort	protein-coding
Insv_ChIPnexus_peak_7407	chr3L	15154784	15154914	+	201	NA	promoter-TSS (NM_140500)	promoter-TSS (NM_140500)	-68	NM_140500	39656	Dm.29679	NM_140500		CG6878	Dmel\CG6878|Romo1	CG6878	protein-coding
Insv_ChIPnexus_peak_2204	chr2L	18484773	18484849	+	201	NA	promoter-TSS (NM_001169536)	promoter-TSS (NM_001169536)	-298	NM_001169535	35102	Dm.3570	NM_136035		CG10283	Dmel\CG10283	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_1642c	chr2L	12589315	12589657	+	201	NA	intron (NM_001103683, intron 1 of 5)	intron (NM_001103683, intron 1 of 5)	1861	NM_001103683	34669	Dm.4744	NM_057311		nub	CG15488|CG15489|CG34395|CG6246|Dmel\CG34395|Dmel_CG15488|Dmel_CG15489|Dmel_CG6246|NUB|Nb|Nub|Oct-1|Oct1|PDM-1|PDM1|POU33F1|Pdm|Pdm-1|Pdm1|dOct1|dPOU-19|dPOU-19/pdm-1|dPOU19|nb|pdm|pdm-1|pdm1|twn	nubbin	protein-coding
Insv_ChIPnexus_peak_14462	chrX	17743863	17744152	+	201	NA	promoter-TSS (NM_133020)	promoter-TSS (NM_133020)	-126	NM_167579	32765	Dm.198	NM_133019		CG15814	Dmel\CG15814	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_9474b	chr3R	6238223	6239146	+	201	NA	promoter-TSS (NM_141744)	promoter-TSS (NM_141744)	-93	NM_079579	41269	Dm.1137	NM_079579		Irp-1B	144037_at|C-Acon|CG6342|Dmel\CG6342|IRF|IRP|IRP-1|IRP-1B|IRP1|cACON|cAcon|dIRP|irp-1B|irp1B	Iron regulatory protein 1B	protein-coding
Insv_ChIPnexus_peak_11455	chr3R	21863739	21863878	+	201	NA	TTS (NM_080505)	TTS (NM_080505)	1048	NM_080505	43160	Dm.24100	NM_080505		E(spl)m7-HLH	CG8361|Dmel\CG8361|E(SPL)m7|E(spl) m7|E(spl)-M7|E(spl)-m7|E(spl)M7|E(spl)m7|ESPL|En(spl)m7|HLH-m7|HLHm7|HlHm7|M7|bHLHb35|m7	Enhancer of split m7, helix-loop-helix	protein-coding
Insv_ChIPnexus_peak_8794b	chr3R	1193024	1194151	+	201	NA	promoter-TSS (NR_073982)	promoter-TSS (NR_073982)	441	NM_169050	40640	Dm.1068	NM_141273		Cerk	CG16708|CerK|DCERK|Dcerk|Dmel\CG16708|dcerk	Ceramide kinase	protein-coding
Insv_ChIPnexus_peak_4314b	chr2R	12224097	12224533	+	201	NA	promoter-TSS (NM_001144207)	promoter-TSS (NM_001144207)	50	NM_001299559	44154	Dm.7717	NM_079972		Hmgs	CG16796|CG4311|Dmel\CG4311|HMGS|Ov25|l(2)06214	HMG Coenzyme A synthase	protein-coding
Insv_ChIPnexus_peak_10159	chr3R	11866771	11866951	+	201	NA	TTS (NM_057337)	TTS (NM_057337)	-2359	NM_142261	41948	Dm.27309	NM_142261		CG10264	Dmel\CG10264	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_4430c	chr2R	13222996	13223531	+	201	NA	intron (NM_176210, intron 2 of 7)	intron (NM_176210, intron 2 of 7)	-28456	NR_073885	14462600		NR_073885		CR43661	Dmel\CR43661	ncRNA	ncRNA
Insv_ChIPnexus_peak_7794b	chr3L	17981320	17981497	+	201	NA	intron (NM_168755, intron 2 of 5)	intron (NM_168755, intron 2 of 5)	-6467	NR_133261	26067249		NR_133261		CR45921	Dmel\CR45921	ncRNA	ncRNA
Insv_ChIPnexus_peak_13549c	chrX	10105456	10105924	+	201	NA	intron (NM_132381, intron 1 of 2)	intron (NM_132381, intron 1 of 2)	717	NM_001272465	31949	Dm.4063	NM_132381		CG15309	BcDNA:GH10478|Dmel\CG15309	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_12089a	chr4	89198	89719	+	201	NA	promoter-TSS (NM_001014685)	promoter-TSS (NM_001014685)	-494	NM_166723	43769	Dm.17803	NM_079880		pan	CG17964|CG32005|CG34403|DTCF|DTcf|Dm Pan|Dmel\CG34403|Dmel_CG17964|Dmel_CG32005|IA5|LEF-1|LEF/TCF|LEF/TCF-1|LEF1|LEF1/TCF|Lef|Lef1|PAN|Pan|TCF|TCF/LEF|TCF/LEF1|TCF/Pan|Tcf|Tcf-1|Tcf/LEF|d-TCF|dTCF|dTcf|l(4)102ABb|l(4)13|lef1|pan.dTCF|tcf	pangolin	protein-coding
Insv_ChIPnexus_peak_12416	chrX	183889	184045	+	201	NA	5' UTR (NM_001297806, exon 3 of 7)	5' UTR (NM_001297806, exon 3 of 7)	5028	NM_001297806	30976		NM_130481		CG13375	Dmel\CG13375|EG:BACR37P7.8	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_10712	chr3R	16112696	16112820	+	201	NA	intron (NM_001260274, intron 2 of 18)	intron (NM_001260274, intron 2 of 18)	-6008	NM_001260275	53560	Dm.5727	NM_080253		cic	CG43122|CG5060|CG5067|CIC|Cic|Dmel\CG43122|Dmel_CG5060|Dmel_CG5067|E(Dl)D49|cics|fet	capicua	protein-coding
Insv_ChIPnexus_peak_6038	chr3L	3678504	3678609	+	201	NA	Intergenic	Intergenic	-10230	NR_048225	12798586		NR_048225		CR43484	Dmel\CR43484|lincRNA.425	ncRNA	ncRNA
Insv_ChIPnexus_peak_4830b	chr2R	16490158	16490583	+	201	NA	promoter-TSS (NM_206183)	promoter-TSS (NM_206183)	-117	NM_206183	43862	Dm.2004	NM_145883		HnRNP-K	BL|CG13425|Dmel\CG13425|Hrb57A|Q18|bl|dhnRNP K|hnRNP K|hnRNP-A1L|l(2)k08305	Heterogeneous nuclear ribonucleoprotein K	protein-coding
Insv_ChIPnexus_peak_6957	chr3L	11812803	11813209	+	201	NA	promoter-TSS (NM_001043136)	promoter-TSS (NM_001043136)	50	NM_168479	39336	Dm.4255	NM_140255		CG5946	Dmel\CG5946	CG5946	protein-coding
Insv_ChIPnexus_peak_2046d	chr2L	16587850	16588371	+	200	NA	intron (NM_001144357, intron 2 of 4)	(GA)n|Simple_repeat|Simple_repeat	-13717	NM_001273575	34987	Dm.11210	NM_135957		CG42389	CG13260|CG13261|CG31738|CG4668|CT15043|CT15049|Dmel\CG42389|Dmel_CG13260|Dmel_CG31738|anon-EST:Liang-1.16|clone 1.16	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_1845	chr2L	14569627	14569811	+	200	NA	Intergenic	Intergenic	-5993	NM_135871	34849	Dm.19835	NM_135871		CG3473	BG:DS01486.1|BcDNA:AT16033|Dmel\CG3473|cg3473	CG3473	protein-coding
Insv_ChIPnexus_peak_866b	chr2L	7069358	7070016	+	200	NA	TTS (NM_135253)	TTS (NM_135253)	1704	NM_135253	33993	Dm.23853	NM_135253		CG11289	Dmel\CG11289	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_776a	chr2L	6561493	6561899	+	200	NA	promoter-TSS (NM_135205)	promoter-TSS (NM_135205)	-36	NM_205916	33920	Dm.13491	NM_135204		CG9596	Dmel\CG9596	CG9596	protein-coding
Insv_ChIPnexus_peak_14647c	chrX	19536740	19537463	+	200	NA	promoter-TSS (NM_134493)	promoter-TSS (NM_134493)	-199	NM_134492	32967	Dm.3567	NM_134492		CG12237	16769716|Dmel\CG12237	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_12877	chrX	4310877	4311083	+	200	NA	intron (NM_001272309, intron 1 of 7)	intron (NM_001272309, intron 1 of 7)	3485	NM_001169191	31379	Dm.1683	NM_080331		bi	BI|CG3578|Dm-OMB|Dm-omb|Dmel\CG3578|OMB|Omb|Qd|T3|TBX2|dm-omb|l(1)bi|l(1)omb|omb	bifid	protein-coding
Insv_ChIPnexus_peak_10030c	chr3R	10920278	10921010	+	200	NA	exon (NM_001104326, exon 1 of 5)	exon (NM_001104326, exon 1 of 5)	709	NM_001300404	41816	Dm.20506	NM_001104326		CG6966	BcDNA:AT05246|Dmel\CG6966	CG6966	protein-coding
Insv_ChIPnexus_peak_9973	chr3R	10403141	10403240	+	200	NA	promoter-TSS (NM_001275641)	promoter-TSS (NM_001275641)	251	NM_001104322	41770	Dm.1198	NM_169588		stumps	0837/10|C|CG18485|CG31317|CG3375|DOF|Dmel\CG31317|Dof|Dof/stumps/heartbroken|Hbr|Hbr/Dof|P1740|anon-EST:CL47|anon-estC|dof|dof/hbr|dof/hbr/sms|dof1|gene C|hbr|heartbroken/dof|i21|i28|l(3)09904|l(3)S083710|sms|stumps/dof	stumps	protein-coding
Insv_ChIPnexus_peak_14654	chrX	19562778	19562898	+	200	NA	promoter-TSS (NM_167676)	promoter-TSS (NM_167676)	-917	NM_167676	32974	Dm.225	NM_078687		Zw	CG12529|Dmel\CG12529|G-6-PD|G-6-pdh|G-6PD|G-6pd|G6-PD|G6-pd|G6PD|G6PDH|G6pd|G6pdh|g6pd|zw	Zwischenferment	protein-coding
Insv_ChIPnexus_peak_6244b	chr3L	5802712	5802932	+	200	NA	intron (NM_001274521, intron 1 of 9)	intron (NM_001274521, intron 1 of 9)	1209	NM_001274521	38654	Dm.856	NM_079217		S6k	10539|7-10|7084|CG10539|DS6K|Dmel\CG10539|Dp70S6k|Dp70[s6k]|Dp70s6k|Pk64F|Pk?6|S6K|S6K1|S6k|S6K|dS6K|dS6k|dp70[S6k]|dp70s6k|dps6k|ds6k|fs(3)07084|l(3)07084|p-S6K|p70 S6K|p70/S6K|p70S6K|p70[S6 kinase]|p70[S6K]|p70[S6k]|p70[S6kinase]|p70s6K|s6k|s6k11	Ribosomal protein S6 kinase	protein-coding
Insv_ChIPnexus_peak_4332b	chr2R	12417021	12417209	+	200	NA	exon (NM_134303, exon 9 of 15)	exon (NM_134303, exon 9 of 15)	-5333	NM_137290	36847	Dm.7826	NM_137290		loopin-1	CG4750|Dmel\CG4750|S-LAP 6|anon-WO0140519.81|kl3 lp-1|kl3lp1|loopin	loopin-1	protein-coding
Insv_ChIPnexus_peak_1097	chr2L	8542057	8542181	+	200	NA	promoter-TSS (NM_135399)	promoter-TSS (NM_135399)	-28	NM_001201802	34192	Dm.13264	NM_135399		Sema1a	BcDNA:RE36155|CG18405|CT26404|D-Sema 1a|D-Sema I|D-Sema-I|D-SemaI|D-semaI|Dmel\CG18405|Dsema 1a|Dsema-I|Fas-IV|FasIV|SEMA-1A|Sema 1a|Sema-1a|Sema-I|Sema1A|SemaI|d-sema I|d-semaI|l(2)k13702|sema|sema 1a|sema-1a|sema-I|sema1a	Semaphorin 1a	protein-coding
Insv_ChIPnexus_peak_7422a	chr3L	15227522	15227982	+	200	NA	promoter-TSS (NM_080018)	promoter-TSS (NM_080018)	-967	NM_080018	44497	Dm.3403	NM_080018		Tollo	CG6890|CT21344|Dmel\CG6890|TOLL 8|Tl-8|Toll-8|dTLR8|dToll8|toll|tollo|tollo/toll-8	tollo	protein-coding
Insv_ChIPnexus_peak_1061	chr2L	8398255	8398503	+	200	NA	promoter-TSS (NM_135382)	promoter-TSS (NM_135382)	-642	NM_135382	34165		NM_135382		CG13386	Dmel\CG13386	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_11945a	chr3R	27231190	27231974	+	200	NA	promoter-TSS (NM_170550)	promoter-TSS (NM_170550)	-408	NM_170550	43710	Dm.12688	NM_143610		PNPase	CG11337|Dmel\CG11337|dmpnpase	Polynucleotide phosphorylase	protein-coding
Insv_ChIPnexus_peak_2939b	chr2R	2519833	2520383	+	200	NA	promoter-TSS (NM_165476)	promoter-TSS (NM_165476)	-219	NM_165475	44307	Dm.6911	NM_057453		Vha16-1	ATP6V0C|BcDNA:SD02875|CG3161|Dmel\CG3161|DucC|EP2372|MRE15|V-ATPase|Vha1|Vha16|Vhac|vha16|vha16-1	Vacuolar H[+] ATPase 16kD subunit 1	protein-coding
Insv_ChIPnexus_peak_5140	chr2R	18959903	18960198	+	200	NA	TTS (NM_137907)	TTS (NM_137907)	1441	NR_002553	3772146	Dm.34183	NR_002553		snoRNA:229	CR33684|Dm-229|DmOr_cd3|Dmel\CR33684|SnoR229|chr2R:18581419..18581570|snoR229	ncRNA	ncRNA
Insv_ChIPnexus_peak_14126b	chrX	15590617	15591616	+	200	NA	promoter-TSS (NM_132825)	promoter-TSS (NM_132825)	-411	NM_132825	32504	Dm.4662	NM_132825		CG8128	Dmel\CG8128	CG8128	protein-coding
Insv_ChIPnexus_peak_13862a	chrX	12834329	12834755	+	199	NA	promoter-TSS (NM_001298244)	promoter-TSS (NM_001298244)	-763	NM_001298244	32245	Dm.3314	NM_132614		fne	BEST:HL02010|BcDNA:HL02010|BcDNA:RE25290|CG4396|CR32646|Dmel\CG4396|Dmel_CR32646|FNE|Fne|MRE28|cg4396|lincRNA.985	found in neurons	protein-coding
Insv_ChIPnexus_peak_6785b	chr3L	10509459	10510156	+	199	NA	intron (NM_001104102, intron 1 of 14)	intron (NM_001104102, intron 1 of 14)	704	NM_001104103	39198	Dm.5024	NM_168412		Rbfox1	A2BP1|A2bp1|BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|cg18441|dA2BP1	RNA-binding Fox protein 1	protein-coding
Insv_ChIPnexus_peak_9392a	chr3R	5603471	5603889	+	199	NA	promoter-TSS (NM_141689)	promoter-TSS (NM_141689)	-84	NM_169311	41200	Dm.14936	NM_141689		RpS29	BcDNA:AT13329|BcDNA:AT28563|BcDNA:RH06643|CG8495|Dmel\CG8495|M(3)85E|M(3)LS5|anon-EST:fe3B4|anon-WO0118547.360|chr3R:5604479..5604622	Ribosomal protein S29	protein-coding
Insv_ChIPnexus_peak_3512a	chr2R	6994205	6994503	+	199	NA	promoter-TSS (NM_001273950)	promoter-TSS (NM_001273950)	-33	NM_206089	2768719	Dm.22012	NM_206089		luna	CG17326|CG33473|CG9087|DKLF|Dmel\CG33473|KLF|Klf|LUNA|lincRNA.284	luna	protein-coding
Insv_ChIPnexus_peak_12948f	chrX	4979661	4980741	+	199	NA	5' UTR (NM_001144687, exon 1 of 28)	5' UTR (NM_001144687, exon 1 of 28)	409	NM_001144687	44531		NM_167028		rg	AKAP|Akap550|CG15464|CG15465/CG6775|CG15466|CG44835|CG6775|DAKAP550|Dmel\CG44835|Dmel_CG15464|Dmel_CG6775|fas	rugose	protein-coding
Insv_ChIPnexus_peak_11699c	chr3R	25040500	25041638	+	199	NA	promoter-TSS (NR_048508)	promoter-TSS (NR_048508)	-238	NR_048508	12798294	Dm.38878	NR_048508		mir-279	0962/07|279|CR33590|CR43015|Dmel\CR43015|Dmel_CR33590|MiR-279|Mir-279|dme-miR-279|dme-miR-279-3p|dme-mir-279|l(3)S096207|miR|miR-279|miR279|mir-279a	mir-279 stem loop	ncRNA
Insv_ChIPnexus_peak_13232	chrX	7418830	7418996	+	199	NA	intron (NM_167128, intron 2 of 7)	intron (NM_167128, intron 2 of 7)	-3424	NM_001258634	12797949		NM_001258634		CG43138	Dmel\CG43138	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_6256b	chr3L	5871709	5872418	+	199	NA	Intergenic	Intergenic	-3341	NM_139737	38660	Dm.23977	NM_139737		CG13287	Dmel\CG13287	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_6299a	chr3L	6117850	6118110	+	199	NA	promoter-TSS (NR_133177)	promoter-TSS (NR_133177)	-525	NR_133176	26067326		NR_133176		CR46005	Dmel\CR46005	ncRNA	ncRNA
Insv_ChIPnexus_peak_1887b	chr2L	15111274	15111682	+	199	NA	intron (NM_135895, intron 1 of 1)	intron (NM_135895, intron 1 of 1)	-2002	NM_057251	34888	Dm.7818	NM_057250		stc	151662_s_at|BG:DS04929.4|BcDNA.LD22726|BcDNA:LD22726|CG3647|Cf4|Dmel\CG3647|LD22726|br33|l(2)35Cb|l(2)SH1565|l(2)SH2 1565|l(2)br33|l35Cb	shuttle craft	protein-coding
Insv_ChIPnexus_peak_14485a	chrX	17985231	17985674	+	199	NA	promoter-TSS (NM_001258799)	promoter-TSS (NM_001258799)	160	NM_001258800	32789	Dm.7957	NM_078672		scu	17beta-HSD10|CG7113|Dmel\CG7113|HL-X|HLII|MRPP2|Scu|l(1)16Fd|l(1)17Ad	scully	protein-coding
Insv_ChIPnexus_peak_5729e	chr3L	1334796	1336141	+	199	NA	promoter-TSS (NM_138258)	promoter-TSS (NM_138258)	-109	NM_138258	38157	Dm.20013	NM_138258		CG2211	Dmel\CG2211|anon-WO0118547.230	CG2211	protein-coding
Insv_ChIPnexus_peak_13110c	chrX	6572364	6573895	+	199	NA	promoter-TSS (NM_132110)	promoter-TSS (NM_132110)	22	NM_132110	31604	Dm.11606	NM_132110		ND-ASHI	CG3192|Dmel\CG3192|NIAM	NADH dehydrogenase (ubiquinone) ASHI subunit	protein-coding
Insv_ChIPnexus_peak_1037b	chr2L	8300187	8301151	+	199	NA	promoter-TSS (NM_001103651)	promoter-TSS (NM_001103651)	77	NM_001103651	34132	Dm.7306	NM_057397		Btk29A	Btk|Btk29|Btk29a|C-src2|C-src4|CG18355|CG8049|CT2415|CT41718|DSrc28|DTec29|Dm SRC2|Dmel\CG8049|Dsrc28C|Dsrc29A|EC2-9|S13|SRC 29A|Src2|Src29A|Tec|Tec29|Tec29A|btk|btk29|btk29A|btk29a|c-src/fps|dsrc29A|fic|src-4|src2|src28C|src4|tec29	Btk family kinase at 29A	protein-coding
Insv_ChIPnexus_peak_3034	chr2R	3295151	3295465	+	198	NA	promoter-TSS (NM_136429)	promoter-TSS (NM_136429)	16	NM_165519	35660	Dm.7246	NM_136429		Eaf	CG11166|CG1706|Dmel\CG11166|EP(2)2475|LD35207|dEaf	ELL-associated factor	protein-coding
Insv_ChIPnexus_peak_12336a	chrU	5300424	5300664	+	198	NA	Intergenic	Intergenic	-113779	NR_026600	7354439		NR_026600		Su(Ste):CR42406	CR42406|Dmel\CR42406|RR42186	ncRNA	ncRNA
Insv_ChIPnexus_peak_7505b	chr3L	15808718	15809592	+	198	NA	promoter-TSS (NM_079372)	promoter-TSS (NM_079372)	355	NM_168633	39720	Dm.4008	NM_140547		fwe	CG6151|Dmel\CG6151|anon-WO0118547.242|dFwe	flower	protein-coding
Insv_ChIPnexus_peak_6105a	chr3L	4193883	4194534	+	198	NA	promoter-TSS (NM_001259685)	promoter-TSS (NM_001259685)	215	NM_001259684	38505	Dm.13593	NM_139612		CG43367	CG1295|CG1308|CG1332|Dmel\CG43367|Dmel_CG1295|Dmel_CG1308|Dmel_CG1332	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_7505e	chr3L	15808718	15809592	+	198	NA	promoter-TSS (NM_079372)	promoter-TSS (NM_079372)	355	NM_168633	39720	Dm.4008	NM_140547		fwe	CG6151|Dmel\CG6151|anon-WO0118547.242|dFwe	flower	protein-coding
Insv_ChIPnexus_peak_13823a	chrX	12525519	12526485	+	198	NA	TTS (NM_132590)	TTS (NM_132590)	364	NM_167328	32217		NM_132591		Tomosyn	BcDNA:RH19475|CG11056|CG17762|CG2205|Dmel\CG17762|tomosyn	tomosyn	protein-coding
Insv_ChIPnexus_peak_5697	chr3L	900948	901149	+	198	NA	promoter-TSS (NR_133146)	promoter-TSS (NR_133146)	-840	NR_133146	26067511		NR_133146		CR46200	Dmel\CR46200|lincRNA.412	ncRNA	ncRNA
Insv_ChIPnexus_peak_12894b	chrX	4459279	4459558	+	198	NA	intron (NR_123790, intron 1 of 4)	intron (NR_123790, intron 1 of 4)	6544	NM_131945	31390	Dm.25180	NM_131945		CG12684	Dmel\CG12684	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_3222b	chr2R	4778841	4779373	+	198	NA	promoter-TSS (NM_136569)	promoter-TSS (NM_136569)	-201	NM_001273883	35875	Dm.534	NM_136569		CG8272	CT8327|Dmel\CG8272|FBXL9	CG8272	protein-coding
Insv_ChIPnexus_peak_1143a	chr2L	8936539	8936999	+	198	NA	promoter-TSS (NM_001144337)	promoter-TSS (NM_001144337)	-621	NM_001144337	34212	Dm.365	NM_078792		Tsp29Fb	CG9496|Dm.Tsp29Fb|Dmel\CG9496|anon-EST:ParkEST130	Tetraspanin 29Fb	protein-coding
Insv_ChIPnexus_peak_582c	chr2L	5009086	5009918	+	198	NA	TTS (NM_001144319)	TTS (NM_001144319)	218	NM_001169404	33721	Dm.1559	NM_175969		Rtnl1	142893_at|CG18623|CG33113|CG8895|Dmel\CG33113|G9|Retl1|Rtn1|Rtnl-1|rtnl1	Reticulon-like1	protein-coding
Insv_ChIPnexus_peak_7701a	chr3L	17028358	17028807	+	198	NA	promoter-TSS (NM_140693)	promoter-TSS (NM_140693)	-186	NM_140693	39910	Dm.12916	NM_140693		beg	CG7842|Dmel\CG7842	bad egg	protein-coding
Insv_ChIPnexus_peak_3086	chr2R	3582727	3582942	+	198	NA	promoter-TSS (NM_136472)	promoter-TSS (NM_136472)	52	NM_136472	35715	Dm.12135	NM_136472		LRR	CG1399|CG1576|Dmel\CG1399|Dmel\LRR	Leucine-rich repeat	protein-coding
Insv_ChIPnexus_peak_8931	chr3R	2208572	2208750	+	197	NA	promoter-TSS (NM_001104225)	promoter-TSS (NM_001104225)	25	NM_169139	40791	Dm.1079	NM_141396		godzilla	CG10277|Dmel\CG10277|godzilla[CG10277]	godzilla E3 ubiquitin protein ligase	protein-coding
Insv_ChIPnexus_peak_13	chr2L	94638	94859	+	197	NA	promoter-TSS (NM_134645)	promoter-TSS (NM_134645)	9	NM_134645	33165	Dm.12212	NM_134645		Zir	CG11376|Dm zir|Dmel\CG11376|FBgn 31216|anon-EST:Posey54	Zizimin-related	protein-coding
Insv_ChIPnexus_peak_10458b	chr3R	13947092	13947888	+	197	NA	promoter-TSS (NM_001170172)	promoter-TSS (NM_001170172)	-293	NM_169786	42162	Dm.1851	NM_079671		sr	CG7847|Dmel\CG7847|Sr|SrB|l(3)03999|l(3)06948|l(3)06948b	stripe	protein-coding
Insv_ChIPnexus_peak_14728	chrX	20381697	20381913	+	197	NA	promoter-TSS (NM_001169338)	promoter-TSS (NM_001169338)	-84	NM_001169338	33048	Dm.7998	NM_134552		RhoGAP19D	1412|CG1412|Dmel\CG1412	Rho GTPase activating protein at 19D	protein-coding
Insv_ChIPnexus_peak_853	chr2L	7032583	7032819	+	197	NA	promoter-TSS (NM_135251)	promoter-TSS (NM_135251)	-20	NM_001298771	33989	Dm.7322	NM_135251		Caper	CAPER|CC1.3|CG11266|Dmel\CG11266|HCC1|cg11266|igru	caper	protein-coding
Insv_ChIPnexus_peak_13306a	chrX	7955468	7956123	+	197	NA	promoter-TSS (NM_001169228)	promoter-TSS (NM_001169228)	117	NM_080054	44885	Dm.1814	NM_080054		mys	BetaPS|BetaPS-Int|CG1560|CT40473|Dmel\CG1560|EM28|ItgbPS|MAb6G11|Mys|PS|PS[[beta]]|PSbeta|bPS|b[[PS]]|beta integrin|beta-Int|beta-PS|beta-int|beta-integrin|beta1|betaInt|betaPS|betaPS Int|betaPS integrin|betaPS-integrin|betaPS1|beta[[PS]]|beta[[PS]]-integrin|beta[[P]]S|beta[[mys]]|betamys|integrin beta[[PS]]|l(1)7Db|l(1)7Dn|l(1)93p|l(1)968|l(1)DA551|l(1)EM28|l(1)G0233|l(1)G0281|l(1)mys|nj42|olfC	myospheroid	protein-coding
Insv_ChIPnexus_peak_10946	chr3R	17844831	17845006	+	197	NA	promoter-TSS (NM_142743)	promoter-TSS (NM_142743)	-12	NM_142743	42586	Dm.11391	NM_142743		CG6439	Dmel\CG6439|FBgn0038922|Idh	CG6439	protein-coding
